Equipment ID,EquipmentName,UniqueName,BarcodeNumber,Category,Subcategory,SerialNumber,ModelNumber,Manufacturer,Location,Facility ResQ ID,Facility Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11380,Air Curtain,Air Curtain,EQ11380F219,Electrical,Lighting,Drive through air curtain,EG-4009-CEA,Advanced Energy Solutions,,F219,Tim Hortons #4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10940,Air Curtain EQ10940,Air Curtain,EQ10940F267,Electrical,Lighting,157650015,,,,F267,Tim Hortons #2156 [Deactivated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ8755,Air Curtain EQ8755,Air Curtain,EQ8755F188,Electrical,Lighting,Entrance,,Thermoscreens,,F188,Tim Hortons #0250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ9883,Air Curtain EQ9883,Air Curtain,EQ9883F219,Electrical,Lighting,Drive through air curtain,EG-4009-CEA,Advanced Energy Solutions,,F219,Tim Hortons #4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17945,Bagel Cutter,Bagel Cutter,A00000003WZ,Food Preparation Equipment,Smallware,189750,702-N,Oliver,NA,F444,Tim Hortons #0909,/equipment/images/images_HRrfknr.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17892,Bagel Cutter,Bagel Cutter,A00000003Z5,Food Preparation Equipment,Smallware,178352,702-N,Oliver,NA,F441,Tim Hortons #2917,/equipment/images/images_gbWmNgt.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22043,Bagel Cutter,Bagel Cutter,A0000000ARU,Food Preparation Equipment,Smallware,,,Oliver,702-N/173671,F708,Tim Hortons - 2679,equipment/images/images_Zp4H726.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22444,Bagel Cutter,Bagel Cutter,A0000000BVZ,Food Preparation Equipment,Smallware,,,Oliver,702n/189785,F711,Tim Hortons - 4651,equipment/images/images_lPXC2jh.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21988,Bagel Cutter,Bagel Cutter,A0000000BQO,Food Preparation Equipment,Smallware,,,Oliver,"Model: 702-N
Serial: 178262",F705,Tim Hortons # 2490,equipment/images/images_zHQuHRc.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15644,Bagel Cutter A000000010C,Bagel Cutter,A000000010C,Food Preparation Equipment,Smallware,631-41173,NA,6220,,F371,Tim Hortons #0788,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
